All statistics are based on contigs of size >= 5000 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                  # contigs (>= 5000 bp)  # contigs (>= 10000 bp)  # contigs (>= 25000 bp)  # contigs (>= 50000 bp)  Total length (>= 5000 bp)  Total length (>= 10000 bp)  Total length (>= 25000 bp)  Total length (>= 50000 bp)  # contigs  Largest contig  Total length  Reference length  GC (%)  Reference GC (%)  N50      NG50     N75      NG75     L50  LG50  L75  LG75  # misassemblies  # misassembled contigs  Misassembled contigs length  # local misassemblies  # scaffold gap ext. mis.  # scaffold gap loc. mis.  # unaligned mis. contigs  # unaligned contigs  Unaligned length  Genome fraction (%)  Duplication ratio  # N's per 100 kbp  # mismatches per 100 kbp  # indels per 100 kbp  Largest alignment  Total aligned length  NGA50    NGA75    LGA50  LGA75
r10_2bins_v2_2_r2_medaka  7                       7                        7                        7                        24063280                   24063280                    24063280                    24063280                    7          4765353         24063280      2820294           44.80   37.44             4045605  4765353  2845430  4765353  3    1     5    1     1                1                       2845430                      16                     0                         0                         6                         0 + 6 part           21085421          99.954               1.057              0.00               249.64                    13.91                 2390857            2972430               2390857  2390857  1      1    
r10_2bins_v2_2_racon_r1   7                       7                        7                        7                        24060309                   24060309                    24060309                    24060309                    7          4764761         24060309      2820294           44.79   37.44             4045243  4764761  2845282  4764761  3    1     5    1     1                1                       2845282                      16                     0                         0                         6                         0 + 6 part           21088031          99.954               1.055              0.00               230.31                    21.18                 2390757            2966851               2390757  2390757  1      1    
r10_2bins_v2_2_racon_r2   7                       7                        7                        7                        24055890                   24055890                    24055890                    24055890                    7          4764686         24055890      2820294           44.79   37.44             4045295  4764686  2845321  4764686  3    1     5    1     1                1                       2845321                      16                     0                         0                         6                         0 + 6 part           21081053          99.954               1.055              0.00               239.92                    20.69                 2390764            2969409               2390764  2390764  1      1    
r10_2bins_v2_2_raw        7                       7                        7                        7                        24061440                   24061440                    24061440                    24061440                    7          4763493         24061440      2820294           44.77   37.44             4043007  4763493  2843857  4763493  3    1     5    1     1                1                       2843857                      20                     0                         0                         6                         0 + 7 part           21152339          99.949               1.032              0.00               148.85                    126.53                2387805            2907370               2387805  2387805  1      1    
r10_2bins_v2_3_MP         7                       7                        7                        7                        24074399                   24074399                    24074399                    24074399                    7          4765363         24074399      2820294           44.80   37.44             4045597  4765363  2845424  4765363  3    1     5    1     1                1                       2845424                      16                     0                         0                         6                         0 + 6 part           21098800          99.954               1.056              0.00               244.71                    15.65                 2390858            2970170               2390858  2390858  1      1    
r10_2bins_v2_3_MP_helen   7                       7                        7                        7                        24070917                   24070917                    24070917                    24070917                    7          4765342         24070917      2820294           44.80   37.44             4045617  4765342  2845363  4765342  3    1     5    1     1                1                       2845363                      16                     0                         0                         6                         0 + 6 part           21092419          99.954               1.057              0.00               252.69                    15.61                 2390841            2973027               2390841  2390841  1      1    
r10_2bins_v2_3_r1_medaka  7                       7                        7                        7                        24071942                   24071942                    24071942                    24071942                    7          4765361         24071942      2820294           44.80   37.44             4045586  4765361  2845431  4765361  3    1     5    1     1                1                       2845431                      16                     0                         0                         6                         0 + 6 part           21094582          99.954               1.056              0.00               248.72                    14.26                 2390858            2971931               2390858  2390858  1      1    
r10_2bins_v2_3_r2_medaka  7                       7                        7                        7                        24055585                   24055585                    24055585                    24055585                    7          4765354         24055585      2820294           44.80   37.44             4045593  4765354  2845427  4765354  3    1     5    1     1                1                       2845427                      16                     0                         0                         6                         0 + 6 part           21077711          99.954               1.057              0.00               250.71                    14.26                 2390853            2972445               2390853  2390853  1      1    
r10_2bins_v2_3_racon_r1   7                       7                        7                        7                        24060307                   24060307                    24060307                    24060307                    7          4764595         24060307      2820294           44.79   37.44             4045248  4764595  2845312  4764595  3    1     5    1     1                1                       2845312                      16                     0                         0                         6                         0 + 6 part           21087317          99.954               1.055              0.00               235.02                    21.68                 2390758            2967563               2390758  2390758  1      1    
r10_2bins_v2_3_racon_r2   7                       7                        7                        7                        24051912                   24051912                    24051912                    24051912                    7          4764670         24051912      2820294           44.78   37.44             4045340  4764670  2845321  4764670  3    1     5    1     1                1                       2845321                      16                     0                         0                         6                         0 + 6 part           21078063          99.954               1.055              0.00               236.12                    19.87                 2390769            2968423               2390769  2390769  1      1    
