All statistics are based on contigs of size >= 5000 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly              # contigs (>= 5000 bp)  # contigs (>= 10000 bp)  # contigs (>= 25000 bp)  # contigs (>= 50000 bp)  Total length (>= 5000 bp)  Total length (>= 10000 bp)  Total length (>= 25000 bp)  Total length (>= 50000 bp)  # contigs  Largest contig  Total length  Reference length  GC (%)  Reference GC (%)  N50      NG50     N75      NG75     L50  LG50  L75  LG75  # misassemblies  # misassembled contigs  Misassembled contigs length  # local misassemblies  # scaffold gap ext. mis.  # scaffold gap loc. mis.  # unaligned mis. contigs  # unaligned contigs  Unaligned length  Genome fraction (%)  Duplication ratio  # N's per 100 kbp  # mismatches per 100 kbp  # indels per 100 kbp  Largest alignment  Total aligned length  NGA50   NGA75   LGA50  LGA75
r2_medaka_r10_bins_2  7                       7                        7                        7                        24068153                   24068153                    24068153                    24068153                    7          4765350         24068153      4738357           44.80   52.15             4045605  4765350  2845433  4765350  3    1     5    1     15               1                       4758114                      8                      0                         0                         6                         0 + 7 part           19034057          98.920               1.074              0.00               404.95                    11.29                 1342476            5029290               745370  611515  3      5    
r2_medaka_r10_bins_3  7                       7                        7                        7                        24065807                   24065807                    24065807                    24065807                    7          4765359         24065807      4738357           44.80   52.15             4045604  4765359  2845432  4765359  3    1     5    1     15               1                       4758101                      8                      0                         0                         6                         0 + 7 part           19029383          98.920               1.075              0.00               409.60                    11.55                 1342473            5031603               745370  611516  3      5    
racon_r1_r10_bins_1   7                       7                        7                        7                        24059729                   24059729                    24059729                    24059729                    7          4764643         24059729      4738357           44.79   52.15             4045233  4764643  2845290  4764643  3    1     5    1     15               1                       4757934                      7                      0                         0                         6                         0 + 7 part           19019441          98.920               1.076              0.00               422.53                    35.53                 1342204            5037945               745267  611428  3      5    
racon_r1_r10_bins_2   7                       7                        7                        7                        24064644                   24064644                    24064644                    24064644                    7          4764770         24064644      4738357           44.79   52.15             4045287  4764770  2845293  4764770  3    1     5    1     15               1                       4757908                      8                      0                         0                         6                         0 + 7 part           19029778          98.920               1.074              0.00               410.28                    35.49                 1342272            5032521               745290  611426  3      5    
racon_r1_r10_bins_3   7                       7                        7                        7                        24059333                   24059333                    24059333                    24059333                    7          4764652         24059333      4738357           44.79   52.15             4045256  4764652  2845290  4764652  3    1     5    1     15               1                       4757887                      8                      0                         0                         6                         0 + 7 part           19024350          98.920               1.074              0.00               411.74                    36.00                 1342278            5032641               745264  611433  3      5    
racon_r2_r10_bins_1   7                       7                        7                        7                        24055079                   24055079                    24055079                    24055079                    7          4764716         24055079      4738357           44.79   52.15             4045364  4764716  2845315  4764716  3    1     5    1     15               1                       4757853                      8                      0                         0                         6                         0 + 7 part           19019476          98.920               1.075              0.00               412.40                    33.53                 1342327            5033259               745274  611436  3      5    
racon_r2_r10_bins_2   7                       7                        7                        7                        24060632                   24060632                    24060632                    24060632                    7          4764723         24060632      4738357           44.79   52.15             4045333  4764723  2845310  4764723  3    1     5    1     15               1                       4757839                      8                      0                         0                         6                         0 + 7 part           19022840          98.920               1.075              0.00               416.30                    34.02                 1342285            5035445               745273  611448  3      5    
racon_r2_r10_bins_3   7                       7                        7                        7                        24052503                   24052503                    24052503                    24052503                    7          4764656         24052503      4738357           44.79   52.15             4045318  4764656  2845306  4764656  3    1     5    1     15               1                       4757857                      8                      0                         0                         6                         0 + 7 part           19013503          98.920               1.075              0.00               420.87                    33.35                 1342296            5036642               745261  611448  3      5    
raw_r10_bins_1        7                       7                        7                        7                        28129504                   28129504                    28129504                    28129504                    7          6787702         28129504      4738357           51.10   52.15             4755983  6787702  2990633  6787702  3    1     5    1     19               1                       4755983                      27                     0                         0                         6                         0 + 7 part           23169749          98.889               1.059              0.00               466.68                    218.87                1341367            4957920               745147  407846  3      5    
raw_r10_bins_2        8                       8                        8                        8                        30850309                   30850309                    30850309                    30850309                    8          6787718         30850309      4738357           49.48   52.15             4756088  6787718  2990279  6787718  3    1     5    1     18               1                       4756088                      20                     0                         0                         6                         0 + 8 part           25896359          98.896               1.057              0.00               461.98                    225.11                1341457            4951768               744987  433868  3      5    
raw_r10_bins_3        8                       8                        8                        8                        30849039                   30849039                    30849039                    30849039                    8          6788614         30849039      4738357           49.48   52.15             4755683  6788614  2990261  6788614  3    1     5    1     19               1                       4755683                      29                     0                         0                         6                         0 + 8 part           25889982          98.886               1.059              0.00               468.02                    221.18                1341035            4957224               745147  407847  3      5    
