All statistics are based on contigs of size >= 5000 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                 # contigs (>= 5000 bp)  # contigs (>= 10000 bp)  # contigs (>= 25000 bp)  # contigs (>= 50000 bp)  Total length (>= 5000 bp)  Total length (>= 10000 bp)  Total length (>= 25000 bp)  Total length (>= 50000 bp)  # contigs  Largest contig  Total length  Reference length  GC (%)  Reference GC (%)  N50      NG50     N75      NG75     L50  LG50  L75  LG75  # misassemblies  # misassembled contigs  Misassembled contigs length  # local misassemblies  # scaffold gap ext. mis.  # scaffold gap loc. mis.  # unaligned mis. contigs  # unaligned contigs  Unaligned length  Genome fraction (%)  Duplication ratio  # N's per 100 kbp  # mismatches per 100 kbp  # indels per 100 kbp  Largest alignment  Total aligned length  NGA50    NGA75   LGA50  LGA75
r10_1bin_v4_2_r2_medaka  7                       7                        7                        7                        24065198                   24065198                    24065198                    24065198                    7          4765638         24065198      4787036           44.79   50.45             4045836  4765638  2845566  4765638  3    1     5    1     21               1                       4765638                      37                     0                         0                         6                         0 + 7 part           19027690          97.701               1.077              0.00               446.88                    20.55                 1408968            5034554               1105701  393580  2      5    
r10_1bin_v4_2_racon_r1   7                       7                        7                        7                        24060552                   24060552                    24060552                    24060552                    7          4764540         24060552      4787036           44.79   50.45             4045198  4764540  2845303  4764540  3    1     5    1     21               1                       4764540                      37                     0                         0                         6                         0 + 7 part           19022491          97.701               1.077              0.00               451.78                    40.80                 1408722            5035276               1105447  393561  2      5    
r10_1bin_v4_2_racon_r2   7                       7                        7                        7                        24053082                   24053082                    24053082                    24053082                    7          4764597         24053082      4787036           44.78   50.45             4045283  4764597  2845324  4764597  3    1     5    1     21               1                       4764597                      36                     0                         0                         6                         0 + 7 part           19014448          97.703               1.077              0.00               454.05                    37.01                 1408715            5033402               1103071  393566  2      5    
r10_1bin_v4_2_raw        8                       8                        8                        8                        30850012                   30850012                    30850012                    30850012                    8          6788581         30850012      4787036           49.48   50.45             4755926  6788581  2990627  6788581  3    1     5    1     19               1                       4763606                      55                     0                         0                         6                         0 + 8 part           25890284          97.666               1.061              0.00               497.89                    234.71                1104965            4957379               586347   376858  3      6    
r10_1bin_v4_3_MP         7                       7                        7                        7                        24074372                   24074372                    24074372                    24074372                    7          4765360         24074372      4787036           44.80   50.45             4045594  4765360  2845425  4765360  3    1     5    1     21               1                       4765360                      36                     0                         0                         6                         0 + 7 part           19038572          97.703               1.077              0.00               444.05                    20.66                 1408812            5030449               1103280  393562  2      5    
r10_1bin_v4_3_MP_helen   7                       7                        7                        7                        24070528                   24070528                    24070528                    24070528                    7          4765338         24070528      4787036           44.80   50.45             4045616  4765338  2845368  4765338  3    1     5    1     21               1                       4765338                      36                     0                         0                         6                         0 + 7 part           19035353          97.703               1.077              0.00               439.53                    18.35                 1408786            5029848               1103271  393564  2      5    
r10_1bin_v4_3_r1_medaka  7                       7                        7                        7                        24075072                   24075072                    24075072                    24075072                    7          4765695         24075072      4787036           44.80   50.45             4045840  4765695  2845568  4765695  3    1     5    1     21               1                       4765695                      37                     0                         0                         6                         0 + 7 part           19038620          97.701               1.077              0.00               443.71                    21.79                 1408918            5033498               1105713  393580  2      5    
r10_1bin_v4_3_r2_medaka  7                       7                        7                        7                        24062757                   24062757                    24062757                    24062757                    7          4765649         24062757      4787036           44.79   50.45             4045837  4765649  2845560  4765649  3    1     5    1     21               1                       4765649                      37                     0                         0                         6                         0 + 7 part           19025354          97.701               1.077              0.00               445.87                    21.06                 1408900            5034466               1105699  393577  2      5    
r10_1bin_v4_3_racon_r1   7                       7                        7                        7                        24061106                   24061106                    24061106                    24061106                    7          4764493         24061106      4787036           44.78   50.45             4045212  4764493  2845287  4764493  3    1     5    1     21               1                       4764493                      36                     0                         0                         6                         0 + 7 part           19029919          97.703               1.076              0.00               435.24                    41.16                 1408606            5025956               1103076  393545  2      5    
r10_1bin_v4_3_racon_r2   7                       7                        7                        7                        24053558                   24053558                    24053558                    24053558                    7          4764872         24053558      4787036           44.78   50.45             4045325  4764872  2845313  4764872  3    1     5    1     21               1                       4764872                      38                     0                         0                         6                         0 + 7 part           19012658          97.701               1.078              0.00               456.54                    36.67                 1408661            5038103               1105453  393550  2      5    
r10_1bin_v4_3_raw        7                       7                        7                        7                        28131080                   28131080                    28131080                    28131080                    7          6788581         28131080      4787036           51.10   50.45             4756050  6788581  2990634  6788581  3    1     5    1     19               1                       4763509                      61                     0                         0                         6                         0 + 7 part           23187093          97.644               1.058              0.00               481.85                    234.14                1104926            4941660               583107   376966  3      6    
